Instance,Policy,Seed,Status,Nnodes,Fair Nodes,Gap,Integral
30n20b8,tbrant,0,infeasible,18,18,0,6062.500931
30n20b8,tbrant,1,infeasible,34,34,0,13030.27748
30n20b8,tbrant,2,infeasible,16,16,0,20931.25984
30n20b8,tbrant,3,infeasible,24,24,0,29026.71136
30n20b8,tbrant,4,infeasible,35,35,0,18672.85164
air04,tbrant,0,infeasible,225,225,0,277.3629527
air04,tbrant,1,infeasible,189,189,0,1392.371293
air04,tbrant,2,infeasible,277,277,0,2670.649543
air04,tbrant,3,infeasible,171,171,0,632.6901466
air04,tbrant,4,infeasible,188,188,0,3901.351296
air05,tbrant,0,infeasible,411,411,0,139.9035662
air05,tbrant,1,infeasible,405,405,0,245.0992421
air05,tbrant,2,infeasible,255,255,0,271.3398454
air05,tbrant,3,infeasible,129,129,0,337.52669
air05,tbrant,4,infeasible,273,273,0,275.720163
cod105,tbrant,0,timelimit,607,607,0.523809524,124213.312
cod105,tbrant,1,timelimit,341,341,0.523809524,124394.2132
cod105,tbrant,2,timelimit,209,209,0.523809524,124928.0956
cod105,tbrant,3,timelimit,189,189,0.523809524,125871.624
cod105,tbrant,4,timelimit,309,309,0.523809524,124951.3979
comp21-2idx,tbrant,0,timelimit,1293,1293,0.790021838,164690.5771
comp21-2idx,tbrant,1,timelimit,710,710,0.766769531,162004.8917
comp21-2idx,tbrant,2,timelimit,660,660,0.85,170013.3392
comp21-2idx,tbrant,3,timelimit,503,503,0.725938376,162209.0601
comp21-2idx,tbrant,4,timelimit,1052,1052,0.769721677,168671.7551
dcmulti,tbrant,0,infeasible,55,87,0,7.970528971
dcmulti,tbrant,1,infeasible,35,63,0,4.138432923
dcmulti,tbrant,2,infeasible,31,69,0,3.267504172
dcmulti,tbrant,3,infeasible,29,59,0,2.951574034
dcmulti,tbrant,4,infeasible,27,65,0,3.495249145
eil33-2,tbrant,0,infeasible,8019,8165,0,1913.674702
eil33-2,tbrant,1,infeasible,9595,9689,0,1837.282085
eil33-2,tbrant,2,infeasible,10489,10555,0,1504.175467
eil33-2,tbrant,3,infeasible,9623,9633,0,942.443935
eil33-2,tbrant,4,infeasible,7655,7817,0,1144.176745
istanbul-no-cutoff,tbrant,0,infeasible,287,287,0,3583.368181
istanbul-no-cutoff,tbrant,1,infeasible,461,461,0,2976.925215
istanbul-no-cutoff,tbrant,2,infeasible,311,313,0,2973.438745
istanbul-no-cutoff,tbrant,3,infeasible,357,357,0,2030.202811
istanbul-no-cutoff,tbrant,4,infeasible,243,245,0,2426.761518
l152lav,tbrant,0,infeasible,165,165,0,37.10466361
l152lav,tbrant,1,infeasible,379,379,0,33.86572797
l152lav,tbrant,2,infeasible,265,265,0,20.98957635
l152lav,tbrant,3,infeasible,305,305,0,27.21568949
l152lav,tbrant,4,infeasible,371,371,0,19.98317204
lseu,tbrant,0,infeasible,449,451,0,18.7838766
lseu,tbrant,1,infeasible,277,277,0,11.3994941
lseu,tbrant,2,infeasible,174,174,0,7.971992936
lseu,tbrant,3,infeasible,313,313,0,9.401734269
lseu,tbrant,4,infeasible,265,265,0,8.50353874
misc03,tbrant,0,infeasible,1742,1742,0,191.5749105
misc03,tbrant,1,infeasible,857,857,0,120.4941569
misc03,tbrant,2,infeasible,1617,1617,0,135.1262892
misc03,tbrant,3,infeasible,685,685,0,112.1961635
misc03,tbrant,4,infeasible,1586,1590,0,185.7650585
neos20,tbrant,0,infeasible,2043,2043,0,291.0484222
neos20,tbrant,1,infeasible,1538,1538,0,226.886147
neos20,tbrant,2,infeasible,3199,3199,0,511.3027409
neos20,tbrant,3,infeasible,2280,2280,0,377.0872956
neos20,tbrant,4,infeasible,1618,1618,0,266.1889516
neos21,tbrant,0,infeasible,960,960,0,908.7617096
neos21,tbrant,1,infeasible,1228,1228,0,1130.219152
neos21,tbrant,2,infeasible,871,871,0,910.8138746
neos21,tbrant,3,infeasible,943,943,0,1157.660501
neos21,tbrant,4,infeasible,1144,1144,0,1138.830517
neos-476283,tbrant,0,infeasible,7055,7069,0,1844.285175
neos-476283,tbrant,1,infeasible,4129,4145,0,3274.683667
neos-476283,tbrant,2,infeasible,3001,3015,0,3328.656609
neos-476283,tbrant,3,infeasible,3439,3455,0,3200.945634
neos-476283,tbrant,4,infeasible,6739,6753,0,2826.391492
neos648910,tbrant,0,infeasible,27,27,0,37.65205
neos648910,tbrant,1,infeasible,205,205,0,100.30415
neos648910,tbrant,2,infeasible,155,155,0,83.9164
neos648910,tbrant,3,infeasible,117,117,0,94.13725
neos648910,tbrant,4,infeasible,136,136,0,82.73185
pp08aCUTS,tbrant,0,infeasible,237,237,0,4.091469763
pp08aCUTS,tbrant,1,infeasible,251,251,0,4.573965677
pp08aCUTS,tbrant,2,infeasible,251,251,0,6.172099863
pp08aCUTS,tbrant,3,infeasible,211,211,0,4.945003269
pp08aCUTS,tbrant,4,infeasible,353,353,0,6.80243603
rmatr100-p10,tbrant,0,infeasible,1889,1889,0,1203.393679
rmatr100-p10,tbrant,1,infeasible,1677,1677,0,1320.587425
rmatr100-p10,tbrant,2,infeasible,1843,1843,0,1515.86887
rmatr100-p10,tbrant,3,infeasible,1239,1239,0,1292.260277
rmatr100-p10,tbrant,4,infeasible,1179,1179,0,1252.283694
rmatr100-p5,tbrant,0,infeasible,921,921,0,3638.783201
rmatr100-p5,tbrant,1,infeasible,1147,1147,0,3424.201196
rmatr100-p5,tbrant,2,infeasible,1289,1289,0,4867.925389
rmatr100-p5,tbrant,3,infeasible,1289,1289,0,6085.770867
rmatr100-p5,tbrant,4,infeasible,1293,1293,0,4889.813984
rmatr200-p5,tbrant,0,timelimit,721,721,0.253684349,82127.37605
rmatr200-p5,tbrant,1,timelimit,420,420,0.29872963,87700.54511
rmatr200-p5,tbrant,2,timelimit,281,281,0.294742981,89655.2699
rmatr200-p5,tbrant,3,timelimit,302,302,0.301329389,92286.40805
rmatr200-p5,tbrant,4,timelimit,438,438,0.30485775,91913.83439
roi5alpha10n8,tbrant,0,timelimit,1738,1738,0.308634128,98429.09788
roi5alpha10n8,tbrant,1,timelimit,1176,1176,0.32594539,102649.5552
roi5alpha10n8,tbrant,2,timelimit,643,643,0.3436855,108408.9995
roi5alpha10n8,tbrant,3,timelimit,713,713,0.356651381,109738.5315
roi5alpha10n8,tbrant,4,timelimit,687,687,0.359555098,111465.836
sp150x300d,tbrant,0,infeasible,444,444,0,25.04627413
sp150x300d,tbrant,1,infeasible,2922,2922,0,136.1091014
sp150x300d,tbrant,2,infeasible,9447,9447,0,434.3453126
sp150x300d,tbrant,3,infeasible,3179,3179,0,91.57817498
sp150x300d,tbrant,4,infeasible,724,724,0,23.74410975
